annual_income,age,total_debt,debt_to_income,credit_utilization,num_open_accounts,num_late_payments_2yrs,years_credit_history,loan_amount_requested,employment_years,creditworthy
64934.28,60,33321.75,0.5132,0.2824,6,2,8.68,27908.83,13.22,0
52234.71,21,37830.7,0.7242,0.176,2,1,7.7,16068.85,5.42,1
67953.77,24,49382.54,0.7267,0.3067,5,2,14.09,7972.8,1.15,0
85460.6,50,4176.09,0.0489,0.1159,5,1,13.05,6422.86,1.59,1
50316.93,32,48890.65,0.9717,0.3182,3,1,11.59,500.0,3.78,0
50317.26,55,10749.52,0.2136,0.4637,3,1,3.71,20529.08,3.13,0
86584.26,33,7890.41,0.0911,0.1492,4,2,4.15,15165.0,8.73,1
70348.69,51,18924.87,0.269,0.0731,5,2,7.38,16955.57,2.36,1
45610.51,58,8015.26,0.1757,0.4291,9,2,10.19,1715.38,5.36,1
65851.2,63,19788.53,0.3005,0.3874,2,2,1.99,17886.37,3.14,0
45731.65,43,0.0,0.0,0.3641,3,3,4.58,10095.4,2.52,0
45685.4,24,12134.97,0.2656,0.1958,6,2,1.37,6182.98,6.25,0
59839.25,36,30426.99,0.5085,0.2305,6,1,9.5,16104.8,1.73,1
16734.4,27,14315.26,0.8554,0.1163,4,1,9.38,2399.29,7.59,0
20501.64,42,16699.15,0.8145,0.4012,8,1,2.9,13432.31,8.49,0
43754.25,49,20703.1,0.4732,0.1149,5,2,4.47,9876.39,7.97,0
34743.38,31,29047.94,0.8361,0.0551,7,0,3.83,20580.2,2.33,0
61284.95,53,0.0,0.0,0.0889,5,0,17.64,19135.13,2.07,1
36839.52,49,22014.29,0.5976,0.5089,6,1,4.18,12726.93,4.91,0
26753.93,59,11782.33,0.4404,0.5608,5,0,5.49,14247.4,7.71,0
84312.98,32,16999.65,0.2016,0.5435,2,1,11.6,16788.84,12.51,1
50484.47,27,27719.4,0.5491,0.5821,1,0,4.37,11927.2,6.72,0
56350.56,59,669.76,0.0119,0.0743,5,1,9.79,5458.4,11.09,1
26505.04,62,2848.27,0.1075,0.4363,0,0,10.93,8136.7,3.53,0
44112.35,46,0.0,0.0,0.2806,1,1,6.3,2235.39,1.88,1
57218.45,60,8410.09,0.147,0.2113,1,0,2.24,19403.27,6.01,1
31980.13,29,30965.19,0.9683,0.355,4,2,22.53,15183.23,13.05,0
62513.96,61,13552.95,0.2168,0.4473,2,3,13.54,8615.39,3.91,0
42987.23,54,0.0,0.0,0.0996,1,0,5.6,6201.11,2.15,0
49166.13,33,9171.86,0.1865,0.6424,3,1,4.84,13890.57,8.56,0
42965.87,56,0.0,0.0,0.1659,8,2,7.01,696.15,3.88,1
92045.56,45,1497.77,0.0163,0.7608,5,1,10.19,3450.58,5.54,0
54730.06,44,19665.83,0.3593,0.3024,4,0,16.0,11843.31,4.66,1
33845.78,64,913.52,0.027,0.2218,2,2,11.28,31528.83,1.96,0
71450.9,37,28351.61,0.3968,0.1012,3,2,11.34,15619.15,3.34,0
30583.13,22,14146.56,0.4626,0.1719,5,1,4.87,13482.39,2.01,0
59177.27,33,16027.14,0.2708,0.552,5,1,2.8,2633.75,15.38,0
15806.6,51,11659.52,0.7376,0.287,1,1,11.29,4535.73,6.68,0
28436.28,49,24274.17,0.8536,0.2339,4,3,6.7,22850.5,7.97,0
58937.22,48,24397.92,0.414,0.1093,1,0,8.66,8304.86,6.17,0
69769.33,47,19020.65,0.2726,0.3903,7,2,6.23,12565.23,7.72,1
58427.37,35,21777.47,0.3727,0.4059,4,1,13.09,16734.47,6.64,0
